emotion,user_message,assistant_reply,bad_reply,self_focused,empathetic
angry,I think she is secretly cheating on me :(,Do you have any proof? If so you should bring it up to her.,False,False,True
afraid,I am worried about having enough money for rent.,oh you mean not having enough to pay your rent?,False,False,True
sad,I lost my favorite watch the other day.,Oh no! Are you thinking about buying another one?,False,False,True
grateful,Last year my mother took me grocery shopping for my birthday,"Wow, that's... odd. Was it for a cake?",False,False,True
grateful,Exactly! Was a wonderful surprise,What kind of things did you get?,False,False,True
grateful,"Oh just stuff for my freezer and a lot of snacks. Milk, eggs, etc. A bunch of meat. Some toiletries. That stuff lasted me a few weeks!","These days that is a great gift, am I right?",False,False,True
angry,"I lost a game of DoTA today! I can't believe it, it wasn't even my fault.","If it wasn't your fault, then what caused you to lose?",False,False,True
embarrassed,Once I went into a store only to realize that I had on two different shoes.,Oh my. How did that happen?,False,False,True
surprised,I am shocked at how fast my hair is growing these days,Really? did you use marijuana ?,False,False,True
confident,"I had my recent eye exam, and it went very well.",What's wrong with your sight?,False,False,True
proud,yes it is :),What is his name?,False,False,True
sad,I feel a bit down in the dumps now.,What's got you feeling down?,False,False,True
sad,"My computer suddenly stopped working yesterday, and I can't figure out why.",How inconvenient! Are you going to take it to a technician?,False,False,True
annoyed,This lady behind me in Target was driving me insane. I can't believe it.,What was she doing?,False,False,True
surprised,I got take out and when I got home I had an extra dessert. I was quite pleased,That's awesome. What did you end up getting?,False,False,True
excited,Yes It is. I am super excited :),How are you going to celebrate?,False,False,True
furious,This is ridiculous. I have to take my car to the shop again.,I hate having car troubles! What is it this time?,False,False,True
devastated,We had talked on phone a night before,Oh yeah? What about?,False,False,True
devastated,The news of the demise of a bossom friend I mean,"Oh no, that is sad news indeed. I am sorry to hear that.",False,False,True
disappointed,"I wish my friend didn't cancel on me last minute, I was really hoping she could go with me to that special concert.",That's a shame. Is there someone else who can go with you? I'm available. LOL,False,False,True
sentimental,5,What was your experience like?,False,False,True
afraid,I once saw a ghost in my living room!,Me too! What did yours look like?,False,False,True
proud,"Thanks. I think it was a long time coming, so I am happy with the outcome.",You must've worked hard to get there,False,False,True
angry,I am angry because I didn't get served when it was my turn,What were you expected to be served?,False,False,True
angry,chicken breast and some fries,So how did you handle it?,False,False,True
surprised,It was least expected though!,Why is that? and what was,False,False,True
surprised,Was promoted barely a months of joining my new company,Congratulations. You must have the gods smiling on you,False,False,True
joyful,"My nephew just had his birthday party, and I loved seeing how happy he gets when he opens his gifts.",Happy birthday to him! What did he get?,False,False,True
guilty,"In the past year, I was caught cheating on my wife.",That's awful. Did you have to cheat?,False,False,True
grateful,I was feeling really sick earlier today. I thought I was going to die.,"Oh, no! I hope you are feeling better! Did you go to the doctor to see why?",False,False,True
proud,"Thanks, the pay and conditions were just right that's why I stayed","Yea, benefits and pay seem to be the common motivators. I'm glad it worked out so well for you!",False,False,True
guilty,I feel pretty bad about some things I have done.,Really? What sort of things have you done that make you feel that way?,False,False,True
terrified,Last night was terrible! I heard a huge noise and was so scared I almost pooped my pants.,Why? What happened?,False,False,True
angry,Why won't I get angry at you for not passing your exams,"OK ,why would you in the first place?",False,False,True
angry,Because I have spent 40000USD so far on your tuition and living expenses,"Well ,you played hard! But did you work hard?",False,False,True
hopeful,Hey! The weekend is coming up :D,Are you high young man? It's just wednesday..hahaha,False,False,True
hopeful,It is not hump day! I was just going to tell you I hope you have a great weeked :) You got any big plans?,"Oh ok, I understand. Well, I have this girl that I have been wanting to date. I want to ask her to be my girlfriend this weekend",False,False,True
hopeful,Are you high young man? It's just wednesday..hahaha,It is not hump day! I was just going to tell you I hope you have a great weeked :) You got any big plans?,False,False,True
surprised,I am not suprised because I paid for top quality education,Where do you go to school?,False,False,True
disgusted,I witnessed a man eat an entire 3 foot burrito the other day.,Whoa! What was in that burrito?,False,False,True
disgusted,It was filled with only refried beans and guacamole. It was the grossest thing I have seen.,"Wow, that's a food challenge type of thing! Did they get anything out of it?",False,False,True
impressed,My coworker did an amazing presentation recently. They did a good job.,That's great! What was it about?,False,False,True
terrified,It's certainly not something I would want to live through again. I try to fly as little as possible these days,Why? Did something bad happen to you?,False,False,True
terrified,"Well yes, to the whole plane actually. There was trouble with one engine but fortunately we managed to land safely","Well, I'm glad no one was hurt at least. :)",False,False,True
grateful,I am so thankful I got a new job making more money.,That's cool! Has it been a good transition?,False,False,True
grateful,I start today.. but I am just glad I have a way to help pay the bills .. I was worried I wouldn't find a good job.,It can be stressful sometimes. I am glad to hear you found something good.,False,False,True
anticipating,My parents have been married for many years. I cannot wait to help them celebrate their anniversary this year!,Thats sweet. How long have they been married?,False,False,True
confident,That's good! You should always encourage your children's talents and let them grow,"yes, thank you. Do you have kids of your own?",False,False,True
nostalgic,"Well, I don't own it :) But, it did remind me of when I was a kid and my friends and I would go to a candy shop every week",oh ok I understand,False,False,True
embarrassed,I farted in front of my relatives during christmas dinner,LOL. Sorry. Was it embarrassing or did you laugh it off?,False,False,True
afraid,"Hi, a robber held me at gun point yesterday",Really? Please tell me more,False,False,True
afraid,"I was so scared, he demanded I give him my phone and wallet.",So what did you do ?,False,False,True
prepared,The exams will certify me in my profession,That is quite interesting. You must be proud of yourself!,False,False,True
prepared,I just finished doing all my laundry and packing for my trip. Finally.. ready to go!,Congrats! Where are you going?,False,False,True
content,"I went camping the other week, and it was so nice to not worry about everything like I normally do",Oh I love camping. Was it relaxing? Sometimes camping can be work.,False,False,True
grateful,Life has been kind to me. I am grateful,That's great to here. Anything good happen recently?,False,False,True
terrified,I was robbed at a fast food place years ago.,Oh no! Was it traumatic?,False,False,True
caring,I had my baby cousin over the other day. He's so cute but he's oh so fragile looking. I had to be very careful.,"The little ones always feel so fragile, what did you do?",False,False,True
caring,"I kept him in his little rocker for the most part, but I picked him up with a soft towel when I needed to.","Little ones love rockers or swings, did you have a good time watching your cousin?",False,False,True
disappointed,"Hi, my son did not get A grade in his math class.",What grade did he get? He doesn't have to get an A in everything.,False,False,True
impressed,I am pleased with my children's score at school,Thats always a good thing. Did you give them a fun reward?,False,False,True
anxious,"Hi, I have a very important exam tomorrow.","Oh wow, what subject is it on?",False,False,True
disappointed,I was so upset when I didn't get to go on this one trip with my friends.,"That is sad, Why were you not able to go?",False,False,True
guilty,I took some of my friends food the other day.,That was nice of you. What type of food did you bring?,False,False,True
lonely,"You'll be alright, make sure to talk to your coworkers or you'll feel lonely like me!",Why don't you talk to yours? Im so sorry!,False,False,True
annoyed,My boyfriend has really been getting on my nerves! He never throws anything in the trash and my whole place is a mess.,That is disgusting! You must talk to him about this!,False,False,True
afraid,My car broke down yesterday and the mechanics say it might be the transmission :(,Oh no! Sorry to hear that. How are you planning to get it fixed?,False,False,True
nostalgic,"I had never been to a music festival before, so I was super excited. I was going to get to see my favorite bands, and I was taking a road trip to get there with all of my best friends.","That sounds fun! I've never been myself, but I've always wanted to",False,False,True
nostalgic,"That sounds fun! I've never been myself, but I've always wanted to",Oh really? You should definitely consider it!,False,False,True
sentimental,I thought about it but I'd really have no use for it now.,"oh ok, I understand",False,False,True
disappointed,I caught my wife red handed cheating on me I feel so bad,Oh that's got to be very tough! I'm sorry to hear that. How did you respond?,False,False,True
sentimental,I was going through some old photos of my childhood.,oh really find anything cool?,False,False,True
lonely,my first year of college i didnt have much contact with people which got old quick.,You must felt really lonely because you need friends in college,False,False,True
confident,Last year as a freshman in college I thought I was gonna fail my calculus final so hard.,Uh oh! So what happened? Did you end up passing it?,False,False,True
lonely,"I stepped off the plane and the heat, humidity, and foreign smells hit me like a garbage truck. I was in another world.",Where did you land in then? India or something?,False,False,True
lonely,"Wow, what a great guess! Haha. Thailand, actually.",Aw well that seems like it would be a great time! I hear the beaches are beautiful.,False,False,True
embarrassed,"I can't face my wife, I had a child out of my one night stand",Oh my goodness! Why did you do that?,False,False,True
jealous,"I hope so, I am just so envious of him right now!",Did she know that you crushed on him?,False,False,True
apprehensive,One time in freshman year I got invited to this really shady sounding party.,Oh that sounds kind of worrisome.,False,False,True
proud,my brother finished high school last year.,Did he? Where do you both go to school?,False,False,True
terrified,I was forced into covering for my coworker who was supposed to give a large speech to a packed auditorium. I had no time to prepare for it and really no idea what I was doing. I still had to somehow make my way throught the speech!,Wow that sounds pretty stressful. How do you think you did?,False,False,True
impressed,I'm feeling pretty good after my performance review at work.,That's great! I'm happy for you. Will you be getting a raise?,False,False,True
sentimental,SO I was at the mall the other day and saw my ex,Oh that must have been awkward. Did you two talk to each other?,False,False,True
apprehensive,"Hi, my wife took me paragliding yesterday!","Wow, where did you do that?",False,False,True
guilty,I felt really bad about what I did when me and my brother got new phone cases.,"Oh my, what did you do?",False,False,True
anxious,i can't wait to know if my wife is going to have a boy or a girl child,That's a very exciting time in life. Do you have any preference for gender?,False,False,True
lonely,I had no roommate my first year of freshman year of college which got quite old,ok how did you manage the situation?,False,False,True
disgusted,I walked home through the park last night. There was a homless man there who smelled absoltuely horrible. It seemed like he hadn't cleaned himself off at all in months!,That has got to be hard on the poor guy. Did you offer any help?,False,False,True
guilty,"Hi, I was cleaning the dishes and lost my wife's wedding ring.",Oh wow! That's horrible! Did it fall down the drain?,False,False,True
angry,I let my friend borrow my car yesterday and I regret it now.,oh yea why is that?,False,False,True
prepared,I had to take a licensing test last week for my new job. I spent hours studying for it and felt like nobody could be more prepared.,"That is great, did you get the license?",False,False,True
prepared,I have worked all week to prepare for the meeting and feel I will do great!,That sounds great! What's your meeting about?,False,False,True
prepared,Its about the investment trends in our company,That sounds really interesting. Hopefully you'll get rewarded for your great performance!,False,False,True
furious,I got crashed into this morning by another car who was texting while driving which was horrible,Oh I'm sorry to hear that. Were you hurrt?,False,False,True
disgusted,Seeing that my wife bought a white color when I asked her to buy green disgust me,I would be really frustrated with that as well. Did you exchange the colors?,False,False,True
grateful,I was having dinner yesterday and just stopped for a moment to thank the Lord.,Well that sounds like a good thing to do.,False,False,True
furious,Someone crashed into my parked car yesterday.,"Omg!, does the place have camera? at least so that the police can track down the person",False,False,True
impressed,The latest models of cars are sophisticated,I agree. Do you have a new car?,False,False,True
nostalgic,Well there's no real secret. We traveled to New York fairly often and it just brought back a flood of good memories.,So what was the experience like ?,False,False,True
guilty,I feel so bad for having a drunken one night stand.,Why does that make you feel bad? You're allowed to have fun sometimes.,False,False,True
guilty,Because I am married.,Oh that would be tough. Have you told your partner?,False,False,True
hopeful,I applied for a new job yesterday. It seems like a great fit for me! It pays so much better and is so much more stable than my current job. I think I have a great chance at getting it!,You must be quite hopeful to get this new job then! I hope you do as well.,False,False,True
guilty,My stepfather has been in the hospital this week and I haven't called him. I feel kind of ashamed and awkward about it.,"Why, did you hesitate in the first place?",False,False,True
guilty,"Hi, I accidentally had an affair with my wife's coworker.",Wow that sounds rough! Have you told your wife about it?,False,False,True
guilty,I had planned to get my wife flowers for her birthday but I completly forgot. I feel very upset about having forgotten and think she'll hate me.,Is there still time to get one? You can if you hurry!,False,False,True
trusting,I had so much belief in people that I gave my car to someone and he drove it and never came back with it,Oh my goodness. Who is that guy?,False,False,True
apprehensive,This is an important time for our family because our son is applying for colleges this year. We're all nervous!,"It's a great stage in your life, what is he majoring in?",False,False,True
confident,I am very sure about getting to my kid's school before 1am for the parent teacher's meeting,Is there anything that could spoil that?,False,False,True
lonely,I love by myself and it gets so boring. Its just me and my dog.,Your dog doesn't keep you good company?,False,False,True
joyful,I am so happy.. my sister just had a baby!,Congrats. Boy or girl?,False,False,True
anticipating,My birthday is next week and its the only thing I can think about.,"Well, early happy birthday. What will you do to celebrate?",False,False,True
sentimental,My son is getting ready to go off to college and I find myself so happy and sad at the same time. I'm just remembering all the wonderful times we had with him growing up. It went so quickly!,"Well you knew that you would have to let go one day, didn't you?",False,False,True
joyful,I've bought a lottery ticket every week for years. This week shockingly I bought the winning ticket!,"That's great, how much did you win?",False,False,True
excited,"Took my daughter to the Animal Kingdom for the first time, I think I was more excited than she was.",Oh that sounds like so much fun! I love animals!,False,False,True
guilty,I agreed to watch my neighbor's cat last week while she was on vacation. Unfortunatley I forgot to do that.,What happened to the cat??,False,False,True
angry,I bought a brand new car the other day. I parked it in front of my house. Then some neighborhood punks came by and keyed it the first day!,That is so aggravating! I am sorry to hear this happened to you!,False,False,True
angry,"Hi, the workers at my firm have not been performing their tasks to the required standard.",That sounds horrible. Are you trying to motivate them?,False,False,True
afraid,I'm so tired. I was awake for hours last night.,"Oh, sorry to hear that. I was under a lot of stress. What happened to you?",False,False,True
afraid,"Oh no, sorry hope it wasn't a snake. My hound dog is alwayd barking.",What was stressful for you?,False,False,True
surprised,"As I opened ,it was a friend I had lost contact with for about 20 years","Oh my, that is along time. Did you feel nostalgic?",False,False,True
surprised,"Oh my, that is along time. Did you feel nostalgic?",Who wouldn't? He just showed up like a ghost from the blues.. Lol!,False,False,True
guilty,I am feeling like I have not been the best roommate lately.,"Why, what did you do, to feel like that?",False,False,True
guilty,"I feel like I let my roommate down by breaking some of our house rules, and I feel bad for it.",Are you planning to make up for it?,False,False,True
terrified,I have been attacked last week by robber with a knife. I am still terrible afraid of getting out alone.,I really hope you are alright. Did they catch him?,False,False,True
terrified,"No, the police didn't catch him.",Do you at least remember how he looks?,False,False,True
caring,My sister is really sick right now with a fever. I've been taking care of her day and night for the last week.,Are't you afraid to catch the fever?,False,False,True
confident,I was so confident and then three people stepped up and I knew we had the title.,What do you mean they stepped up but you still had the title. Wouldn't they be the ones with that?,False,False,True
surprised,"In the fall, i had a week off and I didn't make any plans because I was pretty broke. My oldest and best childhood friend flew in from where they live in Europe to spend the week with me- they didn't tell me they were coming. It was wonderful!",oh wow.. where did you all go?,False,False,True
surprised,"""I was shocked when I didnt win the lottery!""","Aww, I'm sorry. It sure would solve a lot of problems, wouldn't it?",False,False,True
surprised,yea and i could whatever i want when i win,What's the first thing you would do if you won a few million?,False,False,True
joyful,I was so happy last week when it was fridaaay!,"i agree, I love Fridays, Did you have any plans?",False,False,True
lonely,All of my friends are taking summer vacations. I've stayed home and have nothing to do because nobody I know is around.,why arent you taking a vacation with them?,False,False,True
lonely,I didn't have money or time to plan anything.,perhaps you could invite someone over to your place and watch a cool movie with them over a pizza?,False,False,True
jealous,"When I was at my sweet sixteen birthday party, my crush asked another girl out. I felt terrible.",Did you have a back up plan?,False,False,True
terrified,Yesterday I heard a loud sound coming from my kitchen,was it a bear?,False,False,True
terrified,No it was a kangaroo. I had to punch him to get rid of him.,"nice, did you beat him up?",False,False,True
impressed,Oh yes. I love that show I can relate to real life families.,"Same here! Have you seen the one guy with the family of adopted boys? What an amazing person, and a great talent!",False,False,True
lonely,My parents decided to send me to a new school out of the area,a better school?,False,False,True
joyful,I was happy when i woke up and it was friday!,what are you looking forward to?,False,False,True
angry,"I was trying to settle a score him and his girl friend, then I mentioned her qualities while trying to convince him",oh no! was the argument bad? are you still friends,False,False,True
anxious,"Hi, I have a really essential certificate exam tomorrow.",Good luck! Have you studied for it? Do you feel prepared?,False,False,True
disgusted,Yesterday I walked through the park to get some fresh air. I saw a mother beating up her kid in the park. I can't believe that some people really will do that.,That sounds aggravating. Did you say anything to her?,False,False,True
angry,I was mad when it was only tuesday!,"Yeah, Tuesday is just the beginning of the week and more to go. Is that why?",False,False,True
joyful,I entered a contest to win a free vacation to Puerto Rico last month. Much to my shock I actually won it! I will be taking that trip at the end of this month!,Congratulations. Are you going by yourself?,False,False,True
sad,"Hi there, my lovely wife is leaving town next week.",Oh? Where is she going?,False,False,True
annoyed,"In the airplane, last week, I was borred by someone knocking repeatedly and aggressively on the toilet door.","what...? you were in the toilet? and they were trying to get in? whut? i am so confused, why would they do that?",False,False,True
lonely,"Hi, i have made no new friends in my new class",Oh I'm sorry. Have you tried to talk to people?,False,False,True
faithful,I thought he would not pay back after a long time,Had you lent someone some money?,False,False,True
faithful,Yes I did,What made you doubtful that you would get paid back?,False,False,True
faithful,He failed to pay back when he promised he would,"Oh, I see -- but did he ever pay you back?",False,False,True
apprehensive,Yes it's a rural area with not a lot of opportunities,what kind of jobs?,False,False,True
anxious,There always seems to be bad news on TV these days.,Who even watches TV this days?,False,False,True
terrified,"Yeah, my first one was too. I can't stand if they stay upside down too long.",I know right??!! I'll go again though!,False,False,True
excited,"thanks, I had to save up for ages",how much did it cost?,False,False,True
surprised,Did you know today is my birthday?,"No, Congratulation. Do you have something planned today?",False,False,True
surprised,That is nice.,I've never had that happen before. How would that make you feel if that happened to you?,False,False,True
sentimental,He did not meet up to his project dealines,Are you talking about a co-worker of yours?,False,False,True
sentimental,A co-worker is my blood brother. I am is line manager,Did you have a conversation about not meeting deadlines?,False,False,True
sentimental,Yes we did,How did it go?,False,False,True
surprised,"Once when I was in high school, I unexpectedly received an award. It was for the work I did for the school year book.",What exactly did you do for the school year book?,False,False,True
excited,When the family gets together from different parts of the country,Its great when family get together. Do you do that on special occasions only?,False,False,True
excited,Yeah! That's the period when every one seem less busy,Exactly. You must feel very happy when that happens.,False,False,True
proud,A fried asked me to make a song intro for an upcoming show,"Nice, is that within your skill set?",False,False,True
prepared,I like to be ready before a long trip.,Yeah I agree. Do you have a long trip coming up?,False,False,True
prepared,"Yes, I'm going to Wyoming on vacation.",Awesome! Is your family going with you?,False,False,True
prepared,"Yes, we are all going .",That sounds like fun! I hope you enjoy your trip!!! Be safe!,False,False,True
surprised,When I woke up this morning I just couldnt believe that work had gave me a large bonus!,"oh cool, how much did you get?",False,False,True
surprised,150! It was crazy. I was not expecting it.,sweet! so you planning to invest it into something or celebrate?,False,False,True
furious,My boss lied to me. Im so upset about it.,oh no.. what did he do?,False,False,True
excited,My dad used to take us every year on vacation to Virginia Beach. It always made be extremely happy!,That is nice. You don't go anymore in family?,False,False,True
lonely,Its so hard being alone when you are used to having your family around.,very true.. do you live alone now?,False,False,True
embarrassed,"You can only guess what happened from there, she dropped it like its hot right in her swimsuit and everyone seen me running with her to go back home ha ha",lol.. i guess that would be a cool story to tell you child when she grows up huh?,False,False,True
afraid,I finished season 2 of Luther on Netflix last night.,"Oh, how did you like it?",False,False,True
surprised,I walked upon a snake in my backyard a couple of days ago.,"oh wow I really hate snakes, I would've freaked out! What did you do?",False,False,True
surprised,i was shocked when i saw my dog missing the other day,Were you able to find it?,False,False,True
afraid,I've been hearing some strange sounds around the house at night lately.,hrmmm wonder if its a ghost or a rodent?,False,False,True
jealous,Every year my brother tries to top me on christmas with gifts and luxury because he has a super good job! It drives me nuts.,"lol, you are so lucky to have such a sweet brother. what do you buy him in return?",False,False,True
devastated,i was crushed when i saw my dog had gotten out,"Oh no, have you found him yet?",False,False,True
surprised,"""I couldnt believe i got a bonus at work!"".",awesome! how much did you get?,False,False,True
afraid,Something is under my bed and keeps me up at night!,What!? My god sounds like a horror movie. You better move.,False,False,True
prepared,I woke up extra early just to make sure I made it to work on time for my new job.,"Did you get there on time? I do the same thing, I like to be prepared for any traffic that could pop up.",False,False,True
furious,i was upset when I wasnt able to leave work early,oh i see.. did you have any programs planned?,False,False,True
angry,"Someone cut me off in traffic the other day, and they were going pretty fast too.","oh no, were you hurt?",False,False,True
anticipating,I cant wait until after work today I get to go pick up my new car.!,"Oh, what kind is it?",False,False,True
anticipating,"Its a jeep, I love jeeps. 2018 compass","I've never owned a jeep, are they nice?",False,False,True
lonely,I've not been around too many people lately.,Why not? Whats going on?,False,False,True
afraid,The other night I got woke up from a noise I heard outside. I was so scared.,oh damn.. what was it?,False,False,True
angry,Someone cut me off in traffic the other day.,"Oh god, how so what happened?",False,False,True
furious,"I know for real she was literally right beside me, didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.",Well I'm glad you weren't hurt.,False,False,True
anticipating,Hi! how are you? I'm getting ready to go on a vacation and am really excited!,Cool! Where are you going?,False,False,True
anticipating,That's pretty awesome. I have never been that far!,"Yeah I really like to take tourist vacations rather than relaxation vacations, how far have you been?",False,False,True
content,I spent weeks seraching for a new tv online,"Sometimes it can be hard to find the right one at the right price, did you find one?",False,False,True
content,I ended up with a samsung. Its an upgrade from the samsung I had before but I think I picked the right one,"That is awesome, I'm glad you were able to find one. How big is the TV?",False,False,True
sad,My roomate is leaving at the end of the month to move up north,Are you going to have any other roommate or you will be living alone?,False,False,True
annoyed,I had picked out some school shoes for my daughter the other day and was waiting for my check to hit the bank so that I could order them.,Did the check end up hitting in time?,False,False,True
jealous,MY mother has so many televisions at her house,How many does she have?,False,False,True
anxious,We are really I am just so ready for it my god i cant even wait!!,Are you moving to a better home?,False,False,True
anxious,I had to give a speech one time in school and I was very nervous for it.,That can be nerve wrecking. How did you do?,False,False,True
anxious,I was nervous the whole time. But I managed to get through it. I'm sure everyone could tell.,What kind of grade did you get?,False,False,True
sad,My friend got a promotion at the casino in town.,That's great. Do you visit the casino often?,False,False,True
impressed,I let my dog out late last night and a skunk was there. I got scared when I spotted her/him trying to scurry away!,"Oh dear! Did you get sprayed? That would frighten me too, especially at night.",False,False,True
impressed,No. I think skunks are the cutest things. I just didn't expect one to be brave and come in my yard! My dog is older and deaf and not usually let out so late- I got her in and mrs skunk got away thank goodness- I wanted to give her some fruit though,Well that's a relief! I'm glad neither of you got sprayed.,False,False,True
disgusted,I had the taco Bell breakfast this morning,Oh wow! how was that? I have never had Taco Bell breakfast.,False,False,True
disgusted,It was terrible and expensive.,Oh really? I can understand. I usually regret eating Taco Bell. Especially after the digestive process.,False,False,True
hopeful,I took a huge risk and moved from 1 state to another without a job. I really wanted change in my life.,Oh wow! That is a bold move! Which state did you move to/from?,False,False,True
impressed,yea i hope it works out for him,"Yeah we will see, are you a big basketball fan?",False,False,True
embarrassed,I fell down the stairs yesterday I was okay,oh my god!!! what happend???,False,False,True
embarrassed,I just missed a step. It wasnt bad. My neighbor ran out to see if I was okay. I was mostly embarrased,now are you ok?,False,False,True
impressed,I enjoyed them because I like competition.,Did you win a lot?,False,False,True
anticipating,School starts soon. I just spoke with my daughters teacher.,"What grade is she in, and how did it go!?",False,False,True
anticipating,I cant wait for the NFL season to start,Do you have a favorite team?,False,False,True
anticipating,needless to say im a lifelong eagles fan since last year!,How do you feel about New England?,False,False,True
joyful,i love all the cardinals in the woods behind my house,Aren't they the prettiest? I am an HSP and I just can't stand to see anything so innocent suffer.,False,False,True
angry,that dang storm last week upset me,why did it upset you?,False,False,True
angry,cause it ruined my plans,What kind of plans did you have going on?,False,False,True
hopeful,I am hoping to win the lottery today and quit my job!,I would love that too lol! What would you do if you won?,False,False,True
jealous,That's great! How exciting!,Is it? I can't even get a boyfriend!,False,False,True
lonely,My daughter left for vacation with her friend.,Wow! Where did they go?,False,False,True
impressed,Im glad i'll be able to leave from work on time today,"thats great, are you usually not able to?",False,False,True
impressed,work just starts to stack towards the end of the day,i understand how that goes,False,False,True
angry,I was mad when I didnt get paid my entire check,I would be mad too. What happened?,False,False,True
angry,a payroll error,How long before you get what is owed to you?,False,False,True
terrified,Im being evaluated at work soon.,for your job or mental health?,False,False,True
lonely,Don't say that. There is somebody for every single person on this earth.,Where is my person?,False,False,True
impressed,I saw someone using a trashcan as a drum set on the street yesterday. I was inspired because they were so efficient with what they had!,thats cool.. take any pics?,False,False,True
surprised,I was very taken aback when my neighbor told me he still had his dogs.,What exactly do you mean? Did you expect them to be taken away from him?,False,False,True
surprised,"Oh dear, I hope everything works out.",I know right? I have to call AC and hope they care. I am worried he is harming them..Why aren't they ever outside with him? Not even for a second?,False,False,True
trusting,"I asked my friend to get stuff for a party, I knew he'd pull through though.",What kind of party?,False,False,True
trusting,It was a birthday party for someone else.,A close friend? What kind of decorations did he get?,False,False,True
anticipating,I cant wait for saturday to get here!,What happens on saturday?,False,False,True
guilty,Yeah I feel super guilty,Can't you just leave food out? Or set an alarm on your phone?,False,False,True
sad,"Me too! I am very sad today, wanna guess why?",cause you ran out of candles?,False,False,True
sad,yes i do,"Me too! I am very sad today, wanna guess why?",False,False,True
guilty,I felt bad for not taking a gift to a party i went to yesterday,Was it a birthday party?,False,False,True
guilty,yes,You probably should feel really bad. Was it a kid's birthday?,False,False,True
surprised,I was super surprised when there was a cute skunk in our yard last night!,Cute? Oh my word,False,False,True
surprised,"I have seen many- They are fine as long as you don't bother them, they are so freaking cute :) They waddle too",Like penguns? that might be cute to see.,False,False,True
anticipating,Fall semester is about to start and I am so ready.,It's nice to see someone who loves school! What are you studying?,False,False,True
anticipating,Criminology. I actually don't love it. lol. I just want to get it over with.,Lol! Oh my goodness. So you are going to be a police officer or a lawyer?,False,False,True
terrified,I was scared when I went home alone the other day,Oh I am sorry to hear that. Are you normally frightened to go home alone?,False,False,True
caring,My wife is so caring I feel blessed to have her as a wife,That is amazing. It is so nice to have someone to share your life with. How long have y'all been together?,False,False,True
caring,25 years. We attended the same kindargerteen and we have been together as friends first since then,Wow! I have been married for a little over 2 years. What is the secret to a long lasting marriage?,False,False,True
nostalgic,I never thought I would miss high school.,Oh I have felt that way before. When did you graduate?,False,False,True
lonely,my girlfriend left me alone that hurts me more and lonley,I hear you! What happened?,False,False,True
afraid,"He hasn't let his dogs out in a week. I think he is starving them or hurting them, I have to help them.",yeah you taken good descision because the dog bite most dangerous one you must help them,False,False,True
impressed,wow amazing feels great,Do you ever watch racing on the tv?,False,False,True
terrified,"Yes, it was a very scary experience.",why what happaned?,False,False,True
content,I agree! I think it is so important to do what makes you happy!,What do you do for a living? Does that contribute to your happiness?,False,False,True
confident,I am applying to grad school.,Oh wow! Congratulations! I also recently applied for grad school to study Computer Science (seriously). What are you wanting to study?,False,False,True
excited,My family and I are going on our first cruise next year!,That sounds exciting! Where are you going?,False,False,True
excited,We are going to Cozumel!,I've had a lot of friends go there. What are your specific plans while you're away?,False,False,True
sad,"My dog is walking a bit slower these days, he's 15.",what breed is he?,False,False,True
impressed,I tried a new Mexican restaurant,I love Mexican food! How was it?,False,False,True
impressed,It was great!. I had fajitas,That sounds so good.,False,False,True
grateful,Yes. My sister stepped up and said she would watch him for me! Now I can be excited about my trip!,Yay! That is great. Where are you going for vacation?,False,False,True
joyful,I just purchased my first home.,Wow! That's exciting! Was it what you were looking for?,False,False,True
disgusted,Hi. I was driving down the road and seen a man beating a dog.,did you intervene?,False,False,True
impressed,A friend just published her own book. I don't know how she does it!,That's awesome! What is the name of the book?,False,False,True
anticipating,I am trying to prepare for my grad school interview.,"Oh wow! That must be quite nerve-wracking, although I am sure that you will do great! What are you planning to study?",False,False,True
anticipating,"Thank you, I am going for Psychology (counseling.)",Oh wow! Do you want to work in schools?,False,False,True
apprehensive,"""I was in one of those rent to buy furniture stores the other day and of course I got hounded by a salesman. He was pitching me some unrealistic sounding deal on a kitchen table that I totally didn't believe. It was so hard to get him to leave me alone.",I hate it when salespeople do that. Did you buy something or leave?,False,False,True
angry,Probably ate it or threw it away!,Someone ate part of my lunch. Can you believe that? It made me so mad!,False,False,True
prepared,I finally got all my paperwork for grad school ready.,Oh that must be relieving. College in general can be pretty stressful!,False,False,True
proud,We will definitely video it! She really know how to make us feel lucky to be her parents!,Yes! Its the best feeling ever isn't it?,False,False,True
lonely,"""My dog injured herself on her tongue and had to go in for surgery and my child went to his grandparents house that day so it was weird having the house so quiet. It was almost an eerie feeling.","It is eerie, isn't it. You must have felt quite strange. Hope your poor doggie is ok!",False,False,True
lonely,"It is eerie, isn't it. You must have felt quite strange. Hope your poor doggie is ok!",Yes she recovered well. Yes it was strange. I was jumping at every sound because I knew I was the only living thing in the house.. or was I?,False,False,True
prepared,I felt very good about a math test. I had studied for it all week.,That's great! You must feel so accomplished! What math class are you taking?,False,False,True
sentimental,My friend's dog died,Oh man I am so sorry. Had she had the dog for a long time?,False,False,True
guilty,I felt bad when I lied to my dad about where I was the night before. I was not sure he would understand,"It's something we've all done, dont feel bad. Would he have gotten mad?",False,False,True
guilty,"I am not sure, I guess I was worried he would be","If you dont mind me asking, where was it that you pretended to be?",False,False,True
